ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
malt1254-1-100-1,,malt1254,1-100,dinja,ˈdɪnjɐ,d ɪ n j ɐ,,spagnol2020,,,^ ˈd ɪ n j ɐ $,default,StandardOrth;Phonetic,ˈdɪnjɐ
malt1254-1-210-1,,malt1254,1-210,art,ˈɐrt,ɐ r t,,spagnol2020,,,^ ˈɐ r t $,default,StandardOrth;Phonetic,ˈɐrt
malt1254-1-212-1,,malt1254,1-212,ħamrija,hɐmˈriːjɐ,h ɐ m r iː j ɐ,,spagnol2020,,,^ h ɐ m ˈr iː j ɐ $,default,StandardOrth;Phonetic,hɐmˈriːjɐ
malt1254-1-213-1,,malt1254,1-213,trab,ˈtrɐːp,t r ɐː p,,spagnol2020,,,^ ˈt r ɐː p $,default,StandardOrth;Phonetic,ˈtrɐːp
malt1254-1-214-1,,malt1254,1-214,tajn,ˈtɐjn,t ɐ j n,,spagnol2020,,,^ ˈt ɐ j n $,default,StandardOrth;Phonetic,ˈtɐjn
malt1254-1-215-1,,malt1254,1-215,ramel,ˈrɐmɛl,r ɐ m ɛ l,,spagnol2020,,,^ ˈr ɐ m ɛ l $,default,StandardOrth;Phonetic,ˈrɐmɛl
malt1254-1-220-1,,malt1254,1-220,muntanja,mʊnˈtɐnjɐ,m ʊ n t ɐ n j ɐ,[mountain],spagnol2020,,,^ m ʊ n ˈt ɐ n j ɐ $,default,StandardOrth;Phonetic,mʊnˈtɐnjɐ
malt1254-1-220-2,,malt1254,1-220,għolja,ˈɔːljɐ,ɔː l j ɐ,[hill],spagnol2020,,,^ ˈɔː l j ɐ $,default,StandardOrth;Phonetic,ˈɔːljɐ
malt1254-1-222-1,,malt1254,1-222,rdum,ɪrˈduːm,ɪ r d uː m,,spagnol2020,,,^ ɪ r ˈd uː m $,default,StandardOrth;Phonetic,ɪrˈduːm
malt1254-1-230-1,,malt1254,1-230,pjanura,pjɐˈnuːrɐ,p j ɐ n uː r ɐ,[plain],spagnol2020,,,^ p j ɐ ˈn uː r ɐ $,default,StandardOrth;Phonetic,pjɐˈnuːrɐ
malt1254-1-240-1,,malt1254,1-240,wied,ˈwɪːt,w ɪː t,,spagnol2020,,,^ ˈw ɪː t $,default,StandardOrth;Phonetic,ˈwɪːt
malt1254-1-250-1,,malt1254,1-250,gżira,ˈɡziːrɐ,g z iː r ɐ,,spagnol2020,,,^ ˈɡ z iː r ɐ $,default,StandardOrth;Phonetic,ˈɡziːrɐ
malt1254-1-260-1,,malt1254,1-260,terraferma,tɛrrɐˈfɛrmɐ,t ɛ rː ɐ f ɛ r m ɐ,,spagnol2020,,,^ t ɛ rr ɐ ˈf ɛ r m ɐ $,default,StandardOrth;Phonetic,tɛrrɐˈfɛrmɐ
malt1254-1-270-1,,malt1254,1-270,xatt,ˈʃɐtt,ʃ ɐ tː,,spagnol2020,,,^ ˈʃ ɐ tt $,default,StandardOrth;Phonetic,ˈʃɐtt
malt1254-1-280-1,,malt1254,1-280,għar,ˈɐːr,ɐː r,,spagnol2020,,,^ ˈɐː r $,default,StandardOrth;Phonetic,ˈɐːr
