ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Transcriptions,AlternativeValues
malt1254-1-280-2,,malt1254,1-280,grotta,ˈɡrɔttɐ,g r ɔ tː ɐ,,spagnol2020,,,^ ˈɡ r ɔ tt ɐ $,default,StandardOrth;Phonetic,ˈɡrɔttɐ
malt1254-1-310-1,,malt1254,1-310,ilma,ˈɪlmɐ,ɪ l m ɐ,,spagnol2020,,,^ ˈɪ l m ɐ $,default,StandardOrth;Phonetic,ˈɪlmɐ
malt1254-1-320-1,,malt1254,1-320,baħar,ˈbɐhɐr,b ɐ h ɐ r,,spagnol2020,,,^ ˈb ɐ h ɐ r $,default,StandardOrth;Phonetic,ˈbɐhɐr
malt1254-1-322-1,,malt1254,1-322,kalm,ˈkɐlm,k ɐ l m,,spagnol2020,,,^ ˈk ɐ l m $,default,StandardOrth;Phonetic,ˈkɐlm
malt1254-1-323-1,,malt1254,1-323,mqalleb,ɪmˈʔɐllɛp,ɪ m ʔ ɐ lː ɛ p,,spagnol2020,,,^ ɪ m ˈʔ ɐ ll ɛ p $,default,StandardOrth;Phonetic,ɪmˈʔɐllɛp
malt1254-1-324-1,,malt1254,1-324,ragħwa,ˈrɐːwɐ,r ɐː w ɐ,,spagnol2020,,,^ ˈr ɐː w ɐ $,default,StandardOrth;Phonetic,ˈrɐːwɐ
malt1254-1-329-1,,malt1254,1-329,oċean,ɔʧɛˈɐːn,ɔ tʃ ɛ ɐː n,,spagnol2020,,,^ ɔ ʧ ɛ ˈɐː n $,default,StandardOrth;Phonetic,ɔʧɛˈɐːn
malt1254-1-330-1,,malt1254,1-330,lake,ˈlɛjk,l ɛ j k,,spagnol2020,,,^ ˈl ɛ j k $,default,StandardOrth;Phonetic,ˈlɛjk
malt1254-1-330-2,,malt1254,1-330,lag,ˈlɐːk,l ɐː k,,spagnol2020,,,^ ˈl ɐː k $,default,StandardOrth;Phonetic,ˈlɐːk
malt1254-1-330-3,,malt1254,1-330,għadira,ɐˈdiːrɐ,ɐ d iː r ɐ,"[pool, lake]",spagnol2020,,,^ ɐ ˈd iː r ɐ $,default,StandardOrth;Phonetic,ɐˈdiːrɐ
malt1254-1-340-1,,malt1254,1-340,bajja,ˈbɐjjɐ,b ɐ jː ɐ,,spagnol2020,,,^ ˈb ɐ jj ɐ $,default,StandardOrth;Phonetic,ˈbɐjjɐ
malt1254-1-341-1,,malt1254,1-341,lagoon,lɐˈɡuːn,l ɐ g uː n,,spagnol2020,,,^ l ɐ ˈɡ uː n $,default,StandardOrth;Phonetic,lɐˈɡuːn
malt1254-1-341-2,,malt1254,1-341,laguna,lɐˈɡuːnɐ,l ɐ g uː n ɐ,,spagnol2020,,,^ l ɐ ˈɡ uː n ɐ $,default,StandardOrth;Phonetic,lɐˈɡuːnɐ
malt1254-1-342-1,,malt1254,1-342,sikka,ˈsɪkkɐ,s ɪ kː ɐ,,spagnol2020,,,^ ˈs ɪ kk ɐ $,default,StandardOrth;Phonetic,ˈsɪkkɐ
malt1254-1-343-1,,malt1254,1-343,kap,ˈkɐːp,k ɐː p,,spagnol2020,,,^ ˈk ɐː p $,default,StandardOrth;Phonetic,ˈkɐːp
malt1254-1-343-2,,malt1254,1-343,cape,ˈkɛjp,k ɛ j p,,spagnol2020,,,^ ˈk ɛ j p $,default,StandardOrth;Phonetic,ˈkɛjp
malt1254-1-350-1,,malt1254,1-350,mewġa,ˈmɛwʤɐ,m ɛ w dʒ ɐ,,spagnol2020,,,^ ˈm ɛ w ʤ ɐ $,default,StandardOrth;Phonetic,ˈmɛwʤɐ
malt1254-1-352-1,,malt1254,1-352,marea,mɐˈrɛɐ,m ɐ r ɛ ɐ,,spagnol2020,,,^ m ɐ ˈr ɛ ɐ $,default,StandardOrth;Phonetic,mɐˈrɛɐ
malt1254-1-353-1,,malt1254,1-353,frugħ tal-baħar,ˈfrʊːh tɐlˈbɐhɐr,f r ʊː h + t ɐ l b ɐ h ɐ r,,spagnol2020,,,^ ˈf r ʊː h + t ɐ l ˈb ɐ h ɐ r $,default,StandardOrth;Phonetic,ˈfrʊːh tɐlˈbɐhɐr
malt1254-1-354-1,,malt1254,1-354,mili tal-baħar,ˈmɪlɪ tɐlˈbɐhɐr,m ɪ l ɪ + t ɐ l b ɐ h ɐ r,,spagnol2020,,,^ ˈm ɪ l ɪ + t ɐ l ˈb ɐ h ɐ r $,default,StandardOrth;Phonetic,ˈmɪlɪ tɐlˈbɐhɐr
malt1254-1-360-1,,malt1254,1-360,xmara,ˈʃmɐːrɐ,ʃ m ɐː r ɐ,,spagnol2020,,,^ ˈʃ m ɐː r ɐ $,default,StandardOrth;Phonetic,ˈʃmɐːrɐ
malt1254-1-362-1,,malt1254,1-362,whirlpool,ˈwɛrlpuːl,w ɛ r l p uː l,,spagnol2020,,,^ ˈw ɛ r l p uː l $,default,StandardOrth;Phonetic,ˈwɛrlpuːl
malt1254-1-370-1,,malt1254,1-370,għajn,ˈɐjn,ɐ j n,[spring],spagnol2020,,,^ ˈɐ j n $,default,StandardOrth;Phonetic,ˈɐjn
malt1254-1-370-2,,malt1254,1-370,bir,ˈbiːr,b iː r,[well],spagnol2020,,,^ ˈb iː r $,default,StandardOrth;Phonetic,ˈbiːr
malt1254-1-380-1,,malt1254,1-380,swamp,ˈswɔmp,ˈs w ɔ m p,,spagnol2020,,,^ ˈsw ɔ m p $,default,StandardOrth;Phonetic,ˈswɔmp
malt1254-1-390-1,,malt1254,1-390,kaskata,kɐsˈkɐːtɐ,k ɐ s k ɐː t ɐ,,spagnol2020,,,^ k ɐ s ˈk ɐː t ɐ $,default,StandardOrth;Phonetic,kɐsˈkɐːtɐ
malt1254-1-390-2,,malt1254,1-390,ċarċara,ʧɐrˈʧɐːrɐ,tʃ ɐ r tʃ ɐː r ɐ,,spagnol2020,,,^ ʧ ɐ r ˈʧ ɐː r ɐ $,default,StandardOrth;Phonetic,ʧɐrˈʧɐːrɐ
malt1254-1-410-1,,malt1254,1-410,bosk,ˈbɔsk,b ɔ s k,[woods],spagnol2020,,,^ ˈb ɔ s k $,default,StandardOrth;Phonetic,ˈbɔsk
malt1254-1-410-2,,malt1254,1-410,masġar,ˈmɐzʤɐr,m ɐ z dʒ ɐ r,[woods],spagnol2020,,,^ ˈm ɐ z ʤ ɐ r $,default,StandardOrth;Phonetic,ˈmɐzʤɐr
malt1254-1-410-3,,malt1254,1-410,foresta,fɔˈrɛstɐ,f ɔ r ɛ s t ɐ,[forest],spagnol2020,,,^ f ɔ ˈr ɛ s t ɐ $,default,StandardOrth;Phonetic,fɔˈrɛstɐ
malt1254-1-420-1,,malt1254,1-420,siġra,ˈsɪʤrɐ,s ɪ dʒ r ɐ,,spagnol2020,,,^ ˈs ɪ ʤ r ɐ $,default,StandardOrth;Phonetic,ˈsɪʤrɐ
malt1254-1-430-1,,malt1254,1-430,injam,ɪnˈjɐːm,ɪ n j ɐː m,,spagnol2020,,,^ ɪ n ˈj ɐː m $,default,StandardOrth;Phonetic,ɪnˈjɐːm
malt1254-1-440-1,,malt1254,1-440,ġebla,ˈʤɛblɐ,dʒ ɛ b l ɐ,[stone],spagnol2020,,,^ ˈʤ ɛ b l ɐ $,default,StandardOrth;Phonetic,ˈʤɛblɐ
malt1254-1-440-2,,malt1254,1-440,ħaġra,ˈhɐʤrɐ,h ɐ dʒ r ɐ,[stone],spagnol2020,,,^ ˈh ɐ ʤ r ɐ $,default,StandardOrth;Phonetic,ˈhɐʤrɐ
malt1254-1-440-3,,malt1254,1-440,blata,ˈblɐːtɐ,b l ɐː t ɐ,[rock],spagnol2020,,,^ ˈb l ɐː t ɐ $,default,StandardOrth;Phonetic,ˈblɐːtɐ
malt1254-1-450-1,,malt1254,1-450,terremot,tɛrrɛˈmɔːt,t ɛ rː ɛ m ɔː t,,spagnol2020,,,^ t ɛ rr ɛ ˈm ɔː t $,default,StandardOrth;Phonetic,tɛrrɛˈmɔːt
malt1254-1-510-1,,malt1254,1-510,sema,ˈsɛmɐ,s ɛ m ɐ,,spagnol2020,,,^ ˈs ɛ m ɐ $,default,StandardOrth;Phonetic,ˈsɛmɐ
malt1254-1-520-1,,malt1254,1-520,xemx,ˈʃɛmʃ,ʃ ɛ m ʃ,,spagnol2020,,,^ ˈʃ ɛ mʃ $,default,StandardOrth;Phonetic,ˈʃɛmʃ
malt1254-1-530-1,,malt1254,1-530,qamar,ˈʔɐmɐr,ʔ ɐ m ɐ r,,spagnol2020,,,^ ˈʔ ɐ m ɐ r $,default,StandardOrth;Phonetic,ˈʔɐmɐr
malt1254-1-540-1,,malt1254,1-540,stilla,ˈstɪllɐ,s t ɪ lː ɐ,,spagnol2020,,,^ ˈs t ɪ ll ɐ $,default,StandardOrth;Phonetic,ˈstɪllɐ
malt1254-1-540-2,,malt1254,1-540,kewkba,ˈkɛwɡbɐ,k ɛ w g b ɐ,,spagnol2020,,,^ ˈk ɛ w ɡ b ɐ $,default,StandardOrth;Phonetic,ˈkɛwɡbɐ
malt1254-1-550-1,,malt1254,1-550,beraq,ˈbɛrɐʔ,b ɛ r ɐ ʔ,,spagnol2020,,,^ ˈb ɛ r ɐ ʔ $,default,StandardOrth;Phonetic,ˈbɛrɐʔ
malt1254-1-560-1,,malt1254,1-560,ragħad,ˈrɐːt,r ɐː t,,spagnol2020,,,^ ˈr ɐː t $,default,StandardOrth;Phonetic,ˈrɐːt
malt1254-1-570-1,,malt1254,1-570,sajjetta,sɐjˈjɛttɐ,s ɐ j j ɛ tː ɐ,,spagnol2020,,,^ s ɐ j ˈj ɛ tt ɐ $,default,StandardOrth;Phonetic,sɐjˈjɛttɐ
malt1254-1-580-1,,malt1254,1-580,maltempata,mɐltɛmˈpɐːtɐ,m ɐ l t ɛ m p ɐː t ɐ,,spagnol2020,,,^ m ɐ l t ɛ m ˈp ɐː t ɐ $,default,StandardOrth;Phonetic,mɐltɛmˈpɐːtɐ
malt1254-1-580-2,,malt1254,1-580,tempesta,tɛmˈpɛstɐ,t ɛ m p ɛ s t ɐ,,spagnol2020,,,^ t ɛ m ˈp ɛ s t ɐ $,default,StandardOrth;Phonetic,tɛmˈpɛstɐ
malt1254-1-590-1,,malt1254,1-590,qawsalla,ʔɐwˈsɐllɐ,ʔ ɐ w s ɐ lː ɐ,,spagnol2020,,,^ ʔ ɐ w ˈs ɐ ll ɐ $,default,StandardOrth;Phonetic,ʔɐwˈsɐllɐ
malt1254-1-610-1,,malt1254,1-610,dawl,ˈdɐwl,d ɐ w l,,spagnol2020,,,^ ˈd ɐ w l $,default,StandardOrth;Phonetic,ˈdɐwl
malt1254-1-620-1,,malt1254,1-620,dlam,ˈdlɐːm,d l ɐː m,,spagnol2020,,,^ ˈd l ɐː m $,default,StandardOrth;Phonetic,ˈdlɐːm
malt1254-1-630-1,,malt1254,1-630,dell,ˈdɛll,d ɛ lː,,spagnol2020,,,^ ˈd ɛ ll $,default,StandardOrth;Phonetic,ˈdɛll
malt1254-1-640-1,,malt1254,1-640,nida,ˈnɪdɐ,n ɪ d ɐ,,spagnol2020,,,^ ˈn ɪ d ɐ $,default,StandardOrth;Phonetic,ˈnɪdɐ
malt1254-1-710-1,,malt1254,1-710,arja,ˈɐːrjɐ,ɐː r j ɐ,,spagnol2020,,,^ ˈɐː r j ɐ $,default,StandardOrth;Phonetic,ˈɐːrjɐ
malt1254-1-720-1,,malt1254,1-720,riħ,ˈrɪːh,r ɪː h,,spagnol2020,,,^ ˈr ɪː h $,default,StandardOrth;Phonetic,ˈrɪːh
malt1254-1-730-1,,malt1254,1-730,sħaba,ˈshɐːbɐ,ˈs h ɐː b ɐ,,spagnol2020,,,^ ˈsh ɐː b ɐ $,default,StandardOrth;Phonetic,ˈshɐːbɐ
malt1254-1-740-1,,malt1254,1-740,ċpar,ˈʧpɐːr,tʃ p ɐː r,,spagnol2020,,,^ ˈʧ p ɐː r $,default,StandardOrth;Phonetic,ˈʧpɐːr
malt1254-1-750-1,,malt1254,1-750,xita,ˈʃɪtɐ,ʃ ɪ t ɐ,,spagnol2020,,,^ ˈʃ ɪ t ɐ $,default,StandardOrth;Phonetic,ˈʃɪtɐ
malt1254-1-760-1,,malt1254,1-760,borra,ˈbɔrrɐ,b ɔ rː ɐ,,spagnol2020,,,^ ˈb ɔ rr ɐ $,default,StandardOrth;Phonetic,ˈbɔrrɐ
malt1254-1-760-2,,malt1254,1-760,snow,ˈsnɔw,s n ɔ w,,spagnol2020,,,^ ˈs n ɔ w $,default,StandardOrth;Phonetic,ˈsnɔw
malt1254-1-770-1,,malt1254,1-770,silġ,ˈsɪlʧ,s ɪ l tʃ,,spagnol2020,,,^ ˈs ɪ l ʧ $,default,StandardOrth;Phonetic,ˈsɪlʧ
malt1254-1-780-1,,malt1254,1-780,temp,ˈtɛmp,t ɛ m p,,spagnol2020,,,^ ˈt ɛ m p $,default,StandardOrth;Phonetic,ˈtɛmp
malt1254-1-810-1,,malt1254,1-810,nar,ˈnɐːr,n ɐː r,,spagnol2020,,,^ ˈn ɐː r $,default,StandardOrth;Phonetic,ˈnɐːr
malt1254-1-820-1,,malt1254,1-820,fjamma,ˈfjɐmmɐ,f j ɐ mː ɐ,,spagnol2020,,,^ ˈf j ɐ mm ɐ $,default,StandardOrth;Phonetic,ˈfjɐmmɐ
malt1254-1-820-2,,malt1254,1-820,vampa,ˈvɐmpɐ,v ɐ m p ɐ,,spagnol2020,,,^ ˈv ɐ m p ɐ $,default,StandardOrth;Phonetic,ˈvɐmpɐ
malt1254-1-830-1,,malt1254,1-830,duħħan,dʊhˈhɐːn,d ʊ h h ɐː n,,spagnol2020,,,^ d ʊ h ˈh ɐː n $,default,StandardOrth;Phonetic,dʊhˈhɐːn
malt1254-1-840-1,,malt1254,1-840,rmied,ɪrˈmɪːt,ɪ r m ɪː t,,spagnol2020,,,^ ɪ r ˈm ɪː t $,default,StandardOrth;Phonetic,ɪrˈmɪːt
malt1254-1-851-1,,malt1254,1-851,ħaraq,ˈhɐrɐʔ,h ɐ r ɐ ʔ,[to burn],spagnol2020,,,^ ˈh ɐ r ɐ ʔ $,default,StandardOrth;Phonetic,ˈhɐrɐʔ
malt1254-1-851-2,,malt1254,1-851,qabbad,ˈʔɐbbɐt,ʔ ɐ bː ɐ t,"[to light, to burn]",spagnol2020,,,^ ˈʔ ɐ bb ɐ t $,default,StandardOrth;Phonetic,ˈʔɐbbɐt
malt1254-1-852-1,,malt1254,1-852,nħaraq,ɪnˈhɐrɐʔ,ɪ n h ɐ r ɐ ʔ,,spagnol2020,,,^ ɪ n ˈh ɐ r ɐ ʔ $,default,StandardOrth;Phonetic,ɪnˈhɐrɐʔ
malt1254-1-860-1,,malt1254,1-860,xegħel,ˈxɛːl,x ɛː l,,spagnol2020,,,^ ˈx ɛː l $,default,StandardOrth;Phonetic,ˈxɛːl
malt1254-1-860-2,,malt1254,1-860,ta n-nar,ˈtɐ nˈnɐːr,t ɐ + n n ɐː r,,spagnol2020,,,^ ˈt ɐ + n ˈn ɐː r $,default,StandardOrth;Phonetic,ˈtɐ nˈnɐːr
malt1254-1-861-1,,malt1254,1-861,tefa,ˈtɛfɐ,t ɛ f ɐ,,spagnol2020,,,^ ˈt ɛ f ɐ $,default,StandardOrth;Phonetic,ˈtɛfɐ
malt1254-1-870-1,,malt1254,1-870,sulfarina,sʊfɐˈriːnɐ,s ʊ f ɐ r iː n ɐ,,spagnol2020,,,^ s ʊ f ɐ ˈr iː n ɐ $,default,StandardOrth;Phonetic,sʊfɐˈriːnɐ
malt1254-1-880-1,,malt1254,1-880,ħatab,ˈhɐtɐp,h ɐ t ɐ p,,spagnol2020,,,^ ˈh ɐ t ɐ p $,default,StandardOrth;Phonetic,ˈhɐtɐp
malt1254-1-890-1,,malt1254,1-890,charcoal,ˈʧɐrkɔwl,tʃ ɐ r k ɔ w l,,spagnol2020,,,^ ˈʧ ɐ r k ɔ w l $,default,StandardOrth;Phonetic,ˈʧɐrkɔwl
malt1254-2-100-1,,malt1254,2-100,bniedem,ˈbnɪːdɛm,b n ɪː d ɛ m,,spagnol2020,,,^ ˈb n ɪː d ɛ m $,default,StandardOrth;Phonetic,ˈbnɪːdɛm
malt1254-2-100-2,,malt1254,2-100,persuna,pɛrˈsuːnɐ,p ɛ r s uː n ɐ,,spagnol2020,,,^ p ɛ r ˈs uː n ɐ $,default,StandardOrth;Phonetic,pɛrˈsuːnɐ
malt1254-2-210-1,,malt1254,2-210,raġel,ˈrɐːʤɛl,r ɐː dʒ ɛ l,,spagnol2020,,,^ ˈr ɐː ʤ ɛ l $,default,StandardOrth;Phonetic,ˈrɐːʤɛl
malt1254-2-220-1,,malt1254,2-220,mara,ˈmɐrɐ,m ɐ r ɐ,,spagnol2020,,,^ ˈm ɐ r ɐ $,default,StandardOrth;Phonetic,ˈmɐrɐ
malt1254-2-230-1,,malt1254,2-230,raġel,ˈrɐːʤɛl,r ɐː dʒ ɛ l,,spagnol2020,,,^ ˈr ɐː ʤ ɛ l $,default,StandardOrth;Phonetic,ˈrɐːʤɛl
malt1254-2-240-1,,malt1254,2-240,mara,ˈmɐrɐ,m ɐ r ɐ,,spagnol2020,,,^ ˈm ɐ r ɐ $,default,StandardOrth;Phonetic,ˈmɐrɐ
malt1254-2-250-1,,malt1254,2-250,tifel,ˈtɪfɛl,t ɪ f ɛ l,,spagnol2020,,,^ ˈt ɪ f ɛ l $,default,StandardOrth;Phonetic,ˈtɪfɛl
malt1254-2-251-1,,malt1254,2-251,żagħżugħ,zɐˈzʊːh,z ɐ z ʊː h,,spagnol2020,,,^ z ɐ ˈz ʊː h $,default,StandardOrth;Phonetic,zɐˈzʊːh
malt1254-2-251-2,,malt1254,2-251,ġuvni,ˈʤuːvnɪ,dʒ uː v n ɪ,,spagnol2020,,,^ ˈʤ uː v n ɪ $,default,StandardOrth;Phonetic,ˈʤuːvnɪ
malt1254-2-260-1,,malt1254,2-260,tifla,ˈtɪflɐ,t ɪ f l ɐ,,spagnol2020,,,^ ˈt ɪ f l ɐ $,default,StandardOrth;Phonetic,ˈtɪflɐ
malt1254-2-261-1,,malt1254,2-261,xebba,ˈʃɛbbɐ,ʃ ɛ bː ɐ,,spagnol2020,,,^ ˈʃ ɛ bb ɐ $,default,StandardOrth;Phonetic,ˈʃɛbbɐ
malt1254-2-261-2,,malt1254,2-261,żagħżugħa,zɐˈzʊwɐ,z ɐ z ʊ w ɐ,,spagnol2020,,,^ z ɐ ˈz ʊ w ɐ $,default,StandardOrth;Phonetic,zɐˈzʊwɐ
malt1254-2-280-1,,malt1254,2-280,bejbi,ˈbɛjbɪ,b ɛ j b ɪ,,spagnol2020,,,^ ˈb ɛ j b ɪ $,default,StandardOrth;Phonetic,ˈbɛjbɪ
malt1254-2-280-2,,malt1254,2-280,tarbija,tɐrˈbiːjɐ,t ɐ r b iː j ɐ,,spagnol2020,,,^ t ɐ r ˈb iː j ɐ $,default,StandardOrth;Phonetic,tɐrˈbiːjɐ
malt1254-2-310-1,,malt1254,2-310,żewġ,ˈzɛwʧ,z ɛ w tʃ,,spagnol2020,,,^ ˈz ɛ w ʧ $,default,StandardOrth;Phonetic,ˈzɛwʧ
malt1254-2-310-2,,malt1254,2-310,raġel,ˈrɐːʤɛl,r ɐː dʒ ɛ l,,spagnol2020,,,^ ˈr ɐː ʤ ɛ l $,default,StandardOrth;Phonetic,ˈrɐːʤɛl
malt1254-2-320-1,,malt1254,2-320,mara,ˈmɐrɐ,m ɐ r ɐ,,spagnol2020,,,^ ˈm ɐ r ɐ $,default,StandardOrth;Phonetic,ˈmɐrɐ
malt1254-2-330-1,,malt1254,2-330,żżewweġ,ɪzˈzɛwwɛʧ,ɪ z z ɛ wː ɛ tʃ,,spagnol2020,,,^ ɪ z ˈz ɛ ww ɛ ʧ $,default,StandardOrth;Phonetic,ɪzˈzɛwwɛʧ
malt1254-2-340-1,,malt1254,2-340,tieġ,ˈtɪːʧ,t ɪː tʃ,,spagnol2020,,,^ ˈt ɪː ʧ $,default,StandardOrth;Phonetic,ˈtɪːʧ
malt1254-2-341-1,,malt1254,2-341,divorzju,dɪˈvɔrʦjʊ,d ɪ v ɔ r ts j ʊ,,spagnol2020,,,^ d ɪ ˈv ɔ r ʦ j ʊ $,default,StandardOrth;Phonetic,dɪˈvɔrʦjʊ
malt1254-2-350-1,,malt1254,2-350,missier,mɪsˈsɪːr,m ɪ s s ɪː r,,spagnol2020,,,^ m ɪ s ˈs ɪː r $,default,StandardOrth;Phonetic,mɪsˈsɪːr
malt1254-2-360-1,,malt1254,2-360,omm,ˈɔmm,ɔ mː,,spagnol2020,,,^ ˈɔ mm $,default,StandardOrth;Phonetic,ˈɔmm
malt1254-2-370-1,,malt1254,2-370,ġenituri,ʤɛnɪˈtuːrɪ,dʒ ɛ n ɪ t uː r ɪ,,spagnol2020,,,^ ʤ ɛ n ɪ ˈt uː r ɪ $,default,StandardOrth;Phonetic,ʤɛnɪˈtuːrɪ
malt1254-2-380-1,,malt1254,2-380,raġel miżżewweġ,ˈrɐːʤɛl mɪzˈzɛwwɛʧ,r ɐː dʒ ɛ l + m ɪ z z ɛ wː ɛ tʃ,,spagnol2020,,,^ ˈr ɐː ʤ ɛ l + m ɪ z ˈz ɛ ww ɛ ʧ $,default,StandardOrth;Phonetic,ˈrɐːʤɛl mɪzˈzɛwwɛʧ
malt1254-2-390-1,,malt1254,2-390,mara miżżewġa,ˈmɐrɐ mɪzˈzɛwʤɐ,m ɐ r ɐ + m ɪ z z ɛ w dʒ ɐ,,spagnol2020,,,^ ˈm ɐ r ɐ + m ɪ z ˈz ɛ w ʤ ɐ $,default,StandardOrth;Phonetic,ˈmɐrɐ mɪzˈzɛwʤɐ
malt1254-2-410-1,,malt1254,2-410,iben,ˈɪbɛn,ɪ b ɛ n,,spagnol2020,,,^ ˈɪ b ɛ n $,default,StandardOrth;Phonetic,ˈɪbɛn
malt1254-2-420-1,,malt1254,2-420,bint,ˈbɪnt,b ɪ n t,,spagnol2020,,,^ ˈb ɪ n t $,default,StandardOrth;Phonetic,ˈbɪnt
malt1254-2-430-1,,malt1254,2-430,wild,ˈwɪlt,w ɪ l t,,spagnol2020,,,^ ˈw ɪ l t $,default,StandardOrth;Phonetic,ˈwɪlt
malt1254-2-440-1,,malt1254,2-440,ħu,ˈhʊ,h ʊ,,spagnol2020,,,^ ˈh ʊ $,default,StandardOrth;Phonetic,ˈhʊ
malt1254-2-444-1,,malt1254,2-444,ħu l-kbir,ˈhʊ lˈɡbiːr,h ʊ + l g b iː r,,spagnol2020,,,^ ˈh ʊ + l ˈɡ b iː r $,default,StandardOrth;Phonetic,ˈhʊ lˈɡbiːr
malt1254-2-445-1,,malt1254,2-445,ħu ż-żgħir,ˈhʊ zˈzɐjr,h ʊ + z z ɐ j r,,spagnol2020,,,^ ˈh ʊ + z ˈz ɐ j r $,default,StandardOrth;Phonetic,ˈhʊ zˈzɐjr; ˈhʊ zˈzɛjr
malt1254-2-450-1,,malt1254,2-450,oħt,ˈɔht,ɔ h t,,spagnol2020,,,^ ˈɔ h t $,default,StandardOrth;Phonetic,ˈɔht
malt1254-2-454-1,,malt1254,2-454,oħt il-kbira,ˈɔht ɪlˈɡbiːrɐ,ɔ h t + ɪ l g b iː r ɐ,,spagnol2020,,,^ ˈɔ h t + ɪ l ˈɡ b iː r ɐ $,default,StandardOrth;Phonetic,ˈɔht ɪlˈɡbiːrɐ
malt1254-2-455-1,,malt1254,2-455,oħt iż-żgħira,ˈɔht ɪzˈzɐjrɐ,ɔ h t + ɪ z z ɐ j r ɐ,,spagnol2020,,,^ ˈɔ h t + ɪ z ˈz ɐ j r ɐ $,default,StandardOrth;Phonetic,ˈɔht ɪzˈzɐjrɐ; ˈɔht ɪzˈzɛjrɐ
malt1254-2-458-1,,malt1254,2-458,tewmin,tɛwˈmiːn,t ɛ w m iː n,,spagnol2020,,,^ t ɛ w ˈm iː n $,default,StandardOrth;Phonetic,tɛwˈmiːn
malt1254-2-460-1,,malt1254,2-460,nannu,ˈnɐnnʊ,n ɐ nː ʊ,,spagnol2020,,,^ ˈn ɐ nn ʊ $,default,StandardOrth;Phonetic,ˈnɐnnʊ
malt1254-2-461-1,,malt1254,2-461,xiħ,ˈʃɪːh,ʃ ɪː h,,spagnol2020,,,^ ˈʃ ɪː h $,default,StandardOrth;Phonetic,ˈʃɪːh
